Version	nbpeople	temps user	tempscpu
0	1	0,000107	0,003545
0	2	0,000053	0,002143
0	4	0,000043	0,001664
0	8	0,000043	0,003112
0	16	0,000522	0,002715
0	32	0,000823	0,003663
0	64	0,001442	0,006159
0	128	0,006623	0,014941
0	256	0,02096	 	0,023302
0	512	0,059412	0,069585
			
1	1	0,008005	0,010015
1	2	0,004646	0,0091
1	4	0,006474	0,006884
1	8	0,017487	0,012009
1	16	0,032493	0,028112
1	32	0,190298	0,248278
1	64	0,43538		0,38678
1	128	1,281914	1,089845
1	256	3,747307	3,132469
1	512	9,234297	9,817339
			
2	1	0,00181	0,02295
2	2	0,001704	0,030119
2	4	0,00359		0,033525
2	8	0,00194		0,026174
2	16	0,01669		0,033673
2	32	0,006991	0,093149
2	64	0,077767	0,182759
2	128	0,092039	0,281006
2	256	0,108734	0,594619
2	512	0,510126	1,074557
